NOTA_VENTA,PRODUCTO,DESCRIPCION,PROCESO,ESTADO
13974,CAJ055004000200C20,"CAJA 550*400*200 C20 NO.",PEGADO,LISTA
13974,CAJ055004000200C20,"CAJA 550*400*200 C20 NO.",TROZADO,LISTA
13974,CAJ055004000200C20,"CAJA 550*400*200 C20 NO.",OTRO,LISTA
13974,CAJ055004000200C20,"CAJA 550*400*200 C20 NO.",IMPRESION,LISTA
13975,CAJ114004700515C20,"CAJA 1140*470*515 C20 TN EMB 4C",CALADO,LISTA
13975,CAJ114004700515C20,"CAJA 1140*470*515 C20 TN EMB 4C",IMPRESION,LISTA
13975,CAJ114004700515C20,"CAJA 1140*470*515 C20 TN EMB 4C",PLIZADO,LISTA
13975,EMP110004300510D92,"PERIMETRAL 1100*430*510 D92 B2 EMB 4C",EMPLACADO,LISTA
13975,EMP110004300510D92,"PERIMETRAL 1100*430*510 D92 B2 EMB 4C",TROZADO,LISTA
13975,EMP110004300510D92,"PERIMETRAL 1100*430*510 D92 B2 EMB 4C",OTRO,LISTA
13975,EMP110004300510D92,"PERIMETRAL 1100*430*510 D92 B2 EMB 4C",PEGADO,LISTA
13976,REL1100002537.509B,"RELLENO 110C25 37.5 09B CELDA 249",OTRO,LISTA
13977,REL1100002537.509B,"RELLENO 110C25 37.5 09B CELDA 249",OTRO,LISTA
13977,REL1100002537.509B,"RELLENO 110C25 37.5 09B CELDA 249",ENCOLADO,LISTA
13977,REL1100002537.509B,"RELLENO 110C25 37.5 09B CELDA 249",MULTIPLE,LISTA
13978,CUB10400185004009B,"CUBIERTA 1040*185*40 09B C1.",OTRO,LISTA
13979,CUB10400320003009B,"CUBIERTA 1040*320*30 09B C1.",EMPLACADO,LISTA
13979,CUB10400320003009B,"CUBIERTA 1040*320*30 09B C1.",TROZADO,LISTA
13979,CUB10400320003009B,"CUBIERTA 1040*320*30 09B C1.",OTRO,LISTA
13980,EMP107009800660D94,"BIN 1070*980*660 D94 B2.",EMPLACADO,LISTA
13980,EMP107009800660D94,"BIN 1070*980*660 D94 B2.",TROZADO,LISTA
13980,EMP107009800660D94,"BIN 1070*980*660 D94 B2.",OTRO,LISTA
13980,EMP107009800660D94,"BIN 1070*980*660 D94 B2.",PEGADO,LISTA
13980,EMP107009800660D94,"BIN 1070*980*660 D94 B2.",IMPRESION,LISTA
13980,TRO154512400004C20,"TAPA 1120*1030*100 C20 AA TRO.",TROQUELADO,LISTA
13981,EMP107009800660D94,"BIN 1070*980*660 D94 B2.",EMPLACADO,LISTA
13981,EMP107009800660D94,"BIN 1070*980*660 D94 B2.",TROZADO,LISTA
13981,EMP107009800660D94,"BIN 1070*980*660 D94 B2.",OTRO,LISTA
13981,EMP107009800660D94,"BIN 1070*980*660 D94 B2.",PEGADO,LISTA
13981,EMP107009800660D94,"BIN 1070*980*660 D94 B2.",IMPRESION,LISTA
